Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
Rafael Diaz-Balart,politician,,male,1926-01-17,2005-05-06,https://en.wikipedia.org/wiki/Rafael_D%C3%ADaz-Balart
Ramon Puig,dub actor,,male,1910-00-00,2007-00-00,
Robert Frost,poet,,male,1874-03-26,1963-01-29,https://en.wikipedia.org/wiki/Robert_Frost
Rodolfo Garcia,lawyer,,male,1873-05-25,1949-11-14,https://pt.wikipedia.org/wiki/Rodolfo_Garcia
Saint Marcellin Champagnat,Catholic priest,,male,1789-05-20,1840-06-06,https://en.wikipedia.org/wiki/Marcellin_Champagnat
Shepard Broad,banker,,male,1906-07-08,2001-11-06,https://en.wikipedia.org/wiki/Shepard_Broad
Singer,,,,,,https://en.wikipedia.org/wiki/Singer_(surname)
South Miami Avenue,,,,,,https://en.wikipedia.org/wiki/Miami_Avenue
Sunny Isles,,,,,,"https://en.wikipedia.org/wiki/Sunny_Isles_Beach,_Florida"
Toussaint L'Ouverture,politician,,male,1743-05-20,1803-04-07,https://en.wikipedia.org/wiki/Toussaint_Louverture
William H. Turner,stage actor,,male,1861-10-21,1942-09-27,https://en.wikipedia.org/wiki/William_H._Turner_(actor)
William Lehman,politician,,male,1913-10-05,2005-03-16,https://en.wikipedia.org/wiki/William_Lehman_(Florida_politician)
Willy Chirino,singer,,male,1947-04-05,,https://en.wikipedia.org/wiki/Willy_Chirino
Yitzhak Rabin,diplomat,Jewish people,male,1922-03-01,1995-11-04,https://en.wikipedia.org/wiki/Yitzhak_Rabin
Dante B. Fascell,,,,,,https://en.wikipedia.org/wiki/PortMiami
Harry S. Truman,politician,,male,1884-05-08,1972-12-26,https://en.wikipedia.org/wiki/Harry_S._Truman
Blue Star,,,,,,https://pl.wikipedia.org/wiki/Blue_Star
Brandon,,,,,,https://en.wikipedia.org/wiki/Brandon_(given_name)
James L. Redman,politician,,male,,2006-00-00,https://en.wikipedia.org/wiki/James_L._Redman
Jim Holmes,association football player,,male,1955-12-08,,https://en.wikipedia.org/wiki/Jim_Holmes_(footballer)
Lee Roy Selmon,American football player,,male,1954-10-20,2011-09-04,https://en.wikipedia.org/wiki/Lee_Roy_Selmon
Licata,,,,,,https://en.wikipedia.org/wiki/Licata
David L. Curtis,politician,,male,1947-02-04,,https://en.wikipedia.org/wiki/David_L._Curtis
Pepin,,,,,,https://commons.wikimedia.org/wiki/Category:Pepin_(surname)
Sun City Center,,,,,,"https://en.wikipedia.org/wiki/Sun_City_Center,_Florida"
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran
W. Howard Frankland,businessperson,,male,1901-11-26,1980-12-17,https://en.wikipedia.org/wiki/William_Howard_Frankland
W. T. Williams,statistician,,male,1913-04-18,1995-10-15,https://en.wikipedia.org/wiki/W._T._Williams
Nature Coast,,,,,,https://en.wikipedia.org/wiki/Nature_Coast
John Van Waters,economist,,male,1920-01-19,2000-12-09,https://nl.wikipedia.org/wiki/John_van_Waterschoot
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
Schrader,,,,,,https://en.wikipedia.org/wiki/Schrader
Corey,,,,,,https://commons.wikimedia.org/wiki/Category:Corey_(given_name)
Eisenhower,,,,,,https://en.wikipedia.org/wiki/Eisenhower_(surname)
Tom Stuart,actor,,male,,,
Barkett,,,,,,https://commons.wikimedia.org/wiki/Category:Barkett_(surname)
"Dr. Martin Luther King, Jr.",pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Bellas Artes,,,,,,https://en.wikipedia.org/wiki/Bellas_Artes_metro_station_(Mexico_City)
Oswaldo Payá,politician,,male,1952-02-29,2012-07-22,https://en.wikipedia.org/wiki/Oswaldo_Pay%C3%A1
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
Michael Moskowitz,,,male,,,
United Spanish War Veterans,,,,,,https://en.wikipedia.org/wiki/United_Spanish_War_Veterans
First Coast,,,,,,https://gl.wikipedia.org/wiki/Northeast_Florida
Backwood,,,,,,https://en.wikipedia.org/wiki/Country_blues
Marjorie Merriweather Post,socialite,,female,1887-03-15,1973-09-12,https://en.wikipedia.org/wiki/Marjorie_Merriweather_Post
Atlantic Beach,,,,,,"https://en.wikipedia.org/wiki/Atlantic_Beach,_Florida"
George Crady,politician,,male,1931-06-14,,https://en.wikipedia.org/wiki/George_Crady
Matthew Powers,researcher,,,,,
Christa McAuliffe,astronaut,,female,1948-09-02,1986-01-28,https://en.wikipedia.org/wiki/Christa_McAuliffe
Archbishop Edward A. McCarthy High School,,,,,,https://en.wikipedia.org/wiki/Archbishop_Edward_A._McCarthy_High_School
Lois D. Martin,,,female,,2022-01-09,https://en.wikipedia.org/wiki/Lois_D._Martin
Rush Limbaugh,radio personality,,male,1951-01-12,2021-02-17,https://en.wikipedia.org/wiki/Rush_Limbaugh
